"id","source","target","cost","reverse_cost","geom"
59792,31825,31819,69.50114553705667,69.50114553705667,[[1288100.526013141,6132343.846551138],[1288095.327392922,6132329.93045735],[1288098.62244985,6132314.829685722],[1288089.54991135,6132293.438361996],[1288078.696260998,6132286.713955355],[1288012.372108381,6132315.163404142]]
331351,188994,204138,22.705597870179165,22.705597870179165,[[1287940.114626908,6131294.946834293],[1287981.492081636,6131276.761366152]]
53741,25768,31771,9.512278857264727,9.512278857264727,[[1287550.819235654,6131430.338024524],[1287569.075632145,6131425.332766816]]
54252,17222,17223,56.70170352476382,56.70170352476382,[[1288005.247660971,6131596.847931934],[1288048.818109668,6131701.22693577]]
59771,28569,37197,2.7012850795269308,2.7012850795269308,[[1288150.71997154,6132388.731947828],[1288145.777386148,6132390.851078318]]
59772,37197,35427,5.072215048839104,5.072215048839104,[[1288145.777386148,6132390.851078318],[1288136.493340617,6132394.822363647]]
59773,35427,28575,6.13344730505968,6.13344730505968,[[1288136.493340617,6132394.822363647],[1288125.261203996,6132399.611268997]]
59774,28575,50608,3.38769569726183,3.38769569726183,[[1288125.261203996,6132399.611268997],[1288119.14976395,6132402.464590178]]
59775,50608,31818,32.25261240782135,32.25261240782135,[[1288119.14976395,6132402.464590178],[1288060.027982391,6132427.510450264]]
59776,31818,28572,39.54717025446415,39.54717025446415,[[1288060.027982391,6132427.510450264],[1287987.636917529,6132458.463296627]]
59777,28572,31821,40.73742370657068,40.73742370657068,[[1287987.636917529,6132458.463296627],[1287913.075122595,6132490.367371818]]
59782,31816,35426,6.890579627649189,6.890579627649189,[[1287929.706254519,6132325.842400522],[1287935.205437365,6132338.440296189]]
59783,35426,28571,4.527834268829163,4.527834268829163,[[1287935.205437365,6132338.440296189],[1287938.823320814,6132346.716539723]]
59784,28571,31826,31.370676580607142,31.370676580607142,[[1287938.823320814,6132346.716539723],[1287963.870206243,6132404.066455118]]
59785,31826,28572,29.75706353561181,29.75706353561181,[[1287963.870206243,6132404.066455118],[1287987.636917529,6132458.463296627]]
59790,31823,28575,30.144305492401532,30.144305492401532,[[1288147.191143681,6132455.609956779],[1288125.261203996,6132399.611268997]]
59791,28575,31825,30.580829741755835,30.580829741755835,[[1288125.261203996,6132399.611268997],[1288100.526013141,6132343.846551138]]
59793,31819,50609,38.006281272332785,38.006281272332785,[[1288012.372108381,6132315.163404142],[1287942.797426635,6132344.897767778]]
59794,50609,28571,2.1952522705062587,2.1952522705062587,[[1287942.797426635,6132344.897767778],[1287938.823320814,6132346.716539723]]
59795,28571,31822,39.75107925676407,39.75107925676407,[[1287938.823320814,6132346.716539723],[1287866.098297478,6132377.919384657]]
59796,31822,28576,72.3073819156068,72.3073819156068,[[1287866.098297478,6132377.919384657],[1287792.627433556,6132409.422693191],[1287817.551867544,6132468.525081566]]
59797,28576,28570,30.57712511031484,30.57712511031484,[[1287817.551867544,6132468.525081566],[1287828.494573489,6132472.446344234],[1287848.33170675,6132517.632768783]]
59803,31824,28572,30.168979242480802,30.168979242480802,[[1288011.737587283,6132513.611367567],[1287987.636917529,6132458.463296627]]
344328,164566,270477,9.121817714364585,9.121817714364585,[[1287648.32397764,6132076.858390486],[1287665.1443527,6132070.017355831]]
63443,78103,31818,30.154466251417468,30.154466251417468,[[1288083.516394948,6132482.891929308],[1288060.027982391,6132427.510450264]]
63444,86531,31819,29.037444567604474,29.037444567604474,[[1288034.992228912,6132368.491775135],[1288012.372108381,6132315.163404142]]
63446,78106,31822,31.76432281765602,31.76432281765602,[[1287890.532925709,6132436.38748155],[1287866.098297478,6132377.919384657]]
63449,78105,31826,39.86777673196354,39.86777673196354,[[1288036.495042036,6132372.045899275],[1287963.870206243,6132404.066455118]]
63450,78106,28576,40.0549626489786,40.0549626489786,[[1287890.532925709,6132436.38748155],[1287817.551867544,6132468.525081566]]
66835,31818,78105,30.20172057548291,30.20172057548291,[[1288060.027982391,6132427.510450264],[1288036.495042036,6132372.045899275]]
66837,31821,78106,29.322543616637528,29.322543616637528,[[1287913.075122595,6132490.367371818],[1287890.532925709,6132436.38748155]]
66840,31825,78105,35.14377612608835,35.14377612608835,[[1288100.526013141,6132343.846551138],[1288036.495042036,6132372.045899275]]
66841,31826,78106,40.25597474505038,40.25597474505038,[[1287963.870206243,6132404.066455118],[1287890.532925709,6132436.38748155]]
66842,28576,84338,1.3580938496576689,1.3580938496576689,[[1287817.551867544,6132468.525081566],[1287815.047179002,6132469.542941066]]
89010,78105,86531,1.9342950312234735,1.9342950312234735,[[1288036.495042036,6132372.045899275],[1288034.992228912,6132368.491775135]]
89012,81044,86905,8.737634293759701,8.737634293759701,[[1287911.472121928,6131813.916310416],[1287927.513260549,6131807.19228036]]
89013,86905,82413,28.18802939480766,28.18802939480766,[[1287927.513260549,6131807.19228036],[1287979.087580636,6131785.084774595]]
89014,82413,82412,44.60315661113243,44.60315661113243,[[1287979.087580636,6131785.084774595],[1288060.707031284,6131750.130004592]]
89015,82412,87273,48.27346832827104,48.27346832827104,[[1288060.707031284,6131750.130004592],[1288149.016783331,6131712.238861393]]
89016,87273,84734,17.941141996950172,17.941141996950172,[[1288149.016783331,6131712.238861393],[1288166.783374062,6131704.630620359],[1288181.844901166,6131698.173631624]]
89018,88236,86535,4.666445151038114,4.666445151038114,[[1287617.087728524,6131490.117711908],[1287620.627688331,6131498.726822113]]
94122,17223,17226,16.729886222637283,16.729886222637283,[[1288048.818109668,6131701.22693577],[1288079.597948871,6131688.513184704]]
