"id","source","target","cost","reverse_cost","geom_coord","geom","length"
89012,81044,86905,8.737634293759701,8.737634293759701,"[[1287911.472121928,6131813.916310416],[1287927.513260549,6131807.19228036]]","LINESTRING (11.5695056 48.1498085, 11.5696497 48.1497682)",17.393409914723705
89013,86905,82413,28.18802939480766,28.18802939480766,"[[1287927.513260549,6131807.19228036],[1287979.087580636,6131785.084774595]]","LINESTRING (11.5696497 48.1497682, 11.570113 48.1496357)",56.112853282711285
89014,82413,82412,44.60315661113243,44.60315661113243,"[[1287979.087580636,6131785.084774595],[1288060.707031284,6131750.130004592]]","LINESTRING (11.570113 48.1496357, 11.5708462 48.1494262)",88.7894738701466
116954,82413,168701,7.453048459179324,7.453048459179324,"[[1287979.087580636,6131785.084774595],[1287984.787138564,6131798.81644882]]","LINESTRING (11.570113 48.1496357, 11.5701642 48.149718)",14.867543092150761
140159,168785,168788,18.066150782804677,18.066150782804677,"[[1287856.691800508,6131936.251198528],[1287823.474064455,6131950.033170811]]","LINESTRING (11.5690135 48.1505417, 11.5687151 48.1506243)",35.963325047496625
140167,111275,173286,5.845138006756197,5.845138006756197,"[[1287827.960239934,6131821.958457516],[1287832.201512532,6131832.820373576]]","LINESTRING (11.5687554 48.1498567, 11.5687935 48.1499218)",11.660600917767654
140168,173286,111873,52.60197309821477,52.60197309821477,"[[1287832.201512532,6131832.820373576],[1287840.606134088,6131854.360711771],[1287872.432376504,6131929.727294445]]","LINESTRING (11.5687935 48.1499218, 11.568869 48.1500509, 11.5691549 48.1505026)",104.93288372163993
140169,111873,111874,35.61900262873081,35.61900262873081,"[[1287872.432376504,6131929.727294445],[1287881.170956534,6131934.415828592],[1287905.661244509,6131990.411473963]]","LINESTRING (11.5691549 48.1505026, 11.5692334 48.1505307, 11.5694534 48.1508663)",71.03390180260763
171047,168701,95688,18.40171511823369,18.40171511823369,"[[1287984.787138564,6131798.81644882],[1287995.896823744,6131825.612464605],[1288003.076930902,6131822.876130385]]","LINESTRING (11.5701642 48.149718, 11.570264 48.1498786, 11.5703285 48.1498622)",36.69162892344425
228314,203548,17224,6.732847081729889,6.732847081729889,"[[1287912.52965709,6131772.03720175],[1287907.44235636,6131759.606987802]]","LINESTRING (11.5695151 48.1495575, 11.5694694 48.149483)",13.430965993150279
